epoch,train_loss,val_loss,train_dice,val_dice
1,0.15581621199846268,0.04769723556403603,0.000747154452831692,6.036148366853464e-10
2,0.030830549299716948,0.027529865902449404,4.637771575111138e-10,6.036148366853464e-10
3,0.02435177067294717,0.027643170074692795,4.609447432080138e-10,6.036148366853464e-10
4,0.021939597725868225,0.02471204487872975,4.833323091757436e-10,6.036148366853464e-10
5,0.020354222878813742,0.02451880435858454,4.614630830235278e-10,0.0024318910667393673
6,0.01898634840734303,0.025506989897361824,0.008834493776357503,0.13636801593223472
7,0.018065022490918636,0.024954242365700856,0.03932451016918057,0.027147251053885792
8,0.017239483958110213,0.026155776610331877,0.039415968683181174,0.018235753876909535
9,0.017320050429552793,0.0248207954157676,0.09695302261793376,0.027128288247449135
10,0.016657948065549134,0.024641336474035467,0.09302030502983749,0.10890880376006214
