epoch,train_loss,val_loss,train_dice,val_dice
1,0.11384811427444219,0.031806811823376586,0.00012385692989115197,3.4620784810408216e-10
2,0.02987045287154615,0.02132056374102831,9.238408566999145e-06,3.4609489877165546e-10
3,0.021296287570148707,0.01894790366558092,0.0017958805782436749,0.011653907241304337
4,0.016994718182832002,0.017075499652751853,0.04075905988505001,0.08061417630441221
5,0.015109178815037013,0.016755675431340933,0.15813481995620618,0.13337506503531976
6,0.013885276867076754,0.016714771211679493,0.2508617995703136,0.12494839169085026
7,0.012876987652853132,0.016826051952583448,0.29830693381297635,0.1736843761588846
8,0.012452939972281456,0.016365636805338517,0.26944632680674774,0.16146828247500317
9,0.013173492169007659,0.017350189055183103,0.2803526326437011,0.13637201456419593
10,0.011398981194943189,0.018056347567055906,0.37464176984271036,0.11787380622083801
11,0.011027030684053897,0.017092918578003134,0.3281543614342809,0.14338866528123617
12,0.010684367883950472,0.018725622911006212,0.3318677486924468,0.11072782803279864
13,0.010334231180604548,0.0181339692457446,0.3612540591041441,0.14587188146210142
14,0.010050243558362126,0.01904318335333041,0.37243375869218687,0.174397096570049
15,0.009630598668009043,0.018984119474355663,0.39819472106173637,0.1516456822199481
16,0.009402527380734682,0.01847007464883583,0.3885353354085237,0.14154615625739098
17,0.009214313118718565,0.01952844306028315,0.4249415910989046,0.13316970983786242
18,0.009486556234769523,0.019323437873806273,0.40343252531299895,0.098071184361351
19,0.009063045103102923,0.020416767469474247,0.43244320936501024,0.12123763799172342
20,0.008569964761845768,0.01986886707267591,0.4260209781676531,0.1464705073407718
21,0.008174638208001852,0.019564369094691107,0.4386698402091861,0.14695048764614121
22,0.007781260265037417,0.019998600440365926,0.4949865906685591,0.16549773474356957
23,0.007611301578581333,0.021454670000821352,0.48159894125536085,0.15354031763438666
24,0.008191346819512547,0.020558596455625126,0.49695724189281465,0.1974399531526225
25,0.007172856456600129,0.019974338622497662,0.5044759303331375,0.14750209464026348
26,0.007335341712459922,0.021279259584844112,0.5392696294188499,0.16017618868499994
27,0.006902950569055975,0.02083333189200078,0.5231014484167099,0.19961874133774213
28,0.006516296695917845,0.021515547430941036,0.5556228405237198,0.14737113445465053
29,0.00686403808183968,0.021172749809920788,0.5436207336187363,0.20057652997119085
30,0.006415582331828773,0.020175970292517116,0.5262664425373077,0.17660928717149155
31,0.006314146779477597,0.02238513622432947,0.559254916459322,0.12565698479634843
32,0.006580422786064446,0.021695855805384263,0.5544315123631157,0.1637712646874466
33,0.006231261719949544,0.023350611262555634,0.5703701824042946,0.18724083035652125
34,0.006113038724288344,0.021401747595518827,0.629594138264656,0.21286017461014645
35,0.005595762119628489,0.024086327624640295,0.6252280449867249,0.23257174768618175
36,0.005481761046685279,0.024618924961292317,0.6476879233121872,0.2843654296760048
37,0.005783019978553057,0.026716791226395538,0.6288637241721153,0.3173194176384381
38,0.006123431259766221,0.02397282238650535,0.5703161114454269,0.2158914141223899
39,0.0051846214476972815,0.025756405034501637,0.6597589576244354,0.26300484760265264
40,0.005176548818126321,0.024131630613867725,0.6207076507806778,0.22262347635946103
41,0.004904981041327119,0.025582533529294387,0.6654460191726684,0.2733708063938788
42,0.004814338041469455,0.026383610675111413,0.6681127232313157,0.27355856275452034
43,0.004491961221210658,0.026929482917434404,0.7116747370362282,0.22576487656416638
44,0.004636763785965741,0.02812071397368397,0.67458052159078,0.27858677080699373
45,0.0042215160233899955,0.027497628038483008,0.7374687445163727,0.27497986797243357
46,0.004542748974636197,0.028995531012437174,0.6637316489219666,0.2848472347749131
47,0.005251280912198127,0.02584059682807752,0.6346078045293688,0.24521533852177008
48,0.004410197143442929,0.02938049622545285,0.7447776806354522,0.2634917845384085
49,0.003579884492792189,0.034351001826248,0.7739303183555603,0.24006904633383133
50,0.003521629166789353,0.031564748247287104,0.7711116766929627,0.25007232484806863
51,0.0033313511637970807,0.03129708394408226,0.7733954191207886,0.26370377939731965
52,0.003312151471618563,0.03293866018897721,0.7878491044044494,0.23663511419934885
53,0.0032141873496584596,0.032218428528202434,0.7997617840766906,0.24692568365883613
54,0.0034399041021242736,0.034076810481825044,0.8062380051612854,0.2185308268810718
55,0.0037838661763817073,0.03252293901251895,0.7878231370449066,0.2040871548389467
56,0.006303996706847102,0.034664445157561986,0.6330210715532303,0.17513096630173353
57,0.004776789462193847,0.03259216594908919,0.6833443787693977,0.2712368532187871
58,0.003518594400957227,0.031015877944550345,0.786322226524353,0.2708843204558694
